28 07 2017, 0.00, 19.72
30 07 2017, 0.00, 20.01
31 07 2017, 0.00, 15.38
01 08 2017, ,
02 08 2017, ,
03 08 2017, 0.00, 24.54
10 08 2017, 0.95, 22.01
11 08 2017, 12.92, 23.20
13 08 2017, 8.65, 21.51
14 08 2017, 0.00, 18.12
15 08 2017, 0.00, 19.03
16 08 2017, 0.00, 17.76
17 08 2017, 0.00, 15.00
18 08 2017, 0.00, 16.14
19 08 2017, 0.00, 20.62
20 08 2017, 0.00, 26.44
21 08 2017, ,
22 08 2017, 17.14, 28.78
23 08 2017, 6.86, 26.63
26 08 2017, 9.14, 26.84
27 08 2017, 0.00, 25.78
28 08 2017, 0.00, 19.83
29 08 2017, 0.00, 21.33
30 08 2017, 0.00, 16.63
31 08 2017, 0.00, 16.25
01 09 2017, 0.00, 16.68
02 09 2017, 0.00, 17.63
03 09 2017, 0.00, 15.35
04 09 2017, 0.79, 14.91
05 09 2017, 152.23, 20.27
06 09 2017, 0.00, 18.09
07 09 2017, 16.96, 19.11
08 09 2017, 0.00, 15.83
09 09 2017, 0.00, 16.40
11 09 2017, 0.00, 19.16
12 09 2017, 0.00, 14.14
13 09 2017, 0.00, 10.70
14 09 2017, 0.00, 12.80
15 09 2017, 0.00, 12.78
16 09 2017, 0.00, 6.78
17 09 2017, 0.00, 14.08
18 09 2017, 0.00, 13.43
19 09 2017, 0.00, 14.19
20 09 2017, 0.00, 9.08
21 09 2017, 0.00, 14.07
22 09 2017, 0.00, 16.72
23 09 2017, 0.00, 19.58
29 09 2017, 0.00, 15.89
30 09 2017, 0.00, 16.16
01 10 2017, 0.00, 15.40
02 10 2017, ,
04 10 2017, 0.00, 15.41
06 10 2017, 0.00, 17.36
08 10 2017, 0.00, 15.84
09 10 2017, 0.00, 15.61
10 10 2017, 0.00, 16.65
11 10 2017, ,
12 10 2017, 0.00, 14.27
13 10 2017, 0.00, 8.84
14 10 2017, 0.00, 7.13
15 10 2017, 0.00, 10.69
16 10 2017, 0.00, 11.27
17 10 2017, 0.00, 12.05
18 10 2017, 0.00, 11.08
19 10 2017, 0.00, 7.02
20 10 2017, 0.00, 5.18
21 10 2017, 0.00, 7.30
22 10 2017, 0.00, 9.43
23 10 2017, 0.00, 6.48
24 10 2017, 0.00, 8.56
26 10 2017, 0.00, 15.37
27 10 2017, 0.00, 16.23
28 10 2017, 0.00, 17.07
29 10 2017, 0.00, 19.22
30 10 2017, 0.00, 7.77
31 10 2017, 0.00, 6.99
01 11 2017, 0.00, 8.21
02 11 2017, 0.00, 10.28
03 11 2017, 0.00, 9.21
04 11 2017, 0.00, 11.85
05 11 2017, 0.00, 9.37
06 11 2017, 0.00, 11.92
08 11 2017, 0.00, 19.38
09 11 2017, 0.00, 15.35
10 11 2017, 0.00, 15.06
11 11 2017, 0.00, 13.44
12 11 2017, 0.00, 12.31
13 11 2017, 0.00, 12.11
15 11 2017, 0.00, 9.83
16 11 2017, 0.00, 10.63
18 11 2017, 0.00, 12.89
19 11 2017, 383.94, 20.44
20 11 2017, 1107.92, 18.46
21 11 2017, 0.00, 13.72
22 11 2017, 0.00, 11.53
23 11 2017, 0.00, 9.99
25 11 2017, 0.00, 10.15
26 11 2017, 0.00, 16.48
27 11 2017, ,
28 11 2017, 0.00, 12.24
29 11 2017, 0.00, 10.20
30 11 2017, ,
01 12 2017, 0.00, 13.93
02 12 2017, 0.00, 12.33
03 12 2017, 0.00, 10.99
04 12 2017, 0.00, 10.06
05 12 2017, 0.00, 11.95
06 12 2017, 0.00, 11.53
07 12 2017, 0.00, 9.41
08 12 2017, 0.00, 6.38
11 12 2017, ,
12 12 2017, 0.00, 7.26
13 12 2017, 0.00, 5.96
14 12 2017, 0.00, 8.95
16 12 2017, 0.00, 8.06
17 12 2017, 0.00, 7.70
18 12 2017, 0.00, 12.51
19 12 2017, 0.00, 14.58
20 12 2017, 0.00, 11.95
22 12 2017, 0.00, 7.52
23 12 2017, 0.00, 5.77
24 12 2017, 0.00, 8.33
25 12 2017, ,
26 12 2017, 0.00, 6.56
27 12 2017, 0.00, 7.32
28 12 2017, 0.00, 13.40
29 12 2017, 0.00, 12.87
31 12 2017, 0.00, 17.89
